SEXO,NIVEL_ACADEMICO,DPTO_INSTITUCION,ORDEN,SECTOR_ADMTIVO,NATURALEZA_JURIDICA,CLASIFICACION_ORGANICA,NIVEL_JERARQUICO_EMPLEO,TIPO_NOMBRAMIENTO,ASIG_BASICA,FECHA_VINCULACION
FEMENINO,PREGRADO,BOGOTÁ. D.C.,NACIONAL,DEFENSA,ESPECIAL,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,3758304.0,2014-05-05
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,GOBERNACIÓN,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,3596870.0,2020-01-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2830680.0,2021-09-14
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,GOBERNACIÓN,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,4298767.0,2020-01-01
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,MINISTERIO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,7674783.0,2017-08-01
FEMENINO,POSTGRADO,META,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,5011341.0,2020-01-03
FEMENINO,PREGRADO,TOLIMA,TERRITORIAL,NO APLICA,EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS OFICIAL,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2919093.0,2016-07-19
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,2631759.0,1999-10-19
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,GOBERNACIÓN,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2686331.0,2020-01-01
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ENTE UNIVERSITARIO AUTÓNOMO,ÓRGANO AUTÓNOMO,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,4544577.0,2017-05-04
FEMENINO,PREGRADO,BOGOTÁ. D.C.,NACIONAL,PLANEACIÓN,DEPARTAMENTO ADMINISTRATIVO,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,8347843.0,2018-11-02
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,PRESIDENCIA DE LA REPÚBLICA,DEPARTAMENTO ADMINISTRATIVO,RAMA EJECUTIVA,ASESOR,LIBRE NOMBRAMIENTO Y REMOCIÓN,4531282.0,2011-09-08
FEMENINO,POSTGRADO,TOLIMA,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,5279525.0,2020-01-21
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,JUSTICIA Y DEL DERECHO,ESPECIAL,SISTEMA INTEGRAL DE VERDAD JUSTICIA REPARACIÓN Y NO REPETICIÓN,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,3030561.0,2022-04-06
